Departamento,Provincia,Distrito,Cantidad
ANCASH,SANTA,NUEVO CHIMBOTE,3
ANCASH,SANTA,SANTA,2
AREQUIPA,AREQUIPA,CAYMA,1
AREQUIPA,AREQUIPA,CERRO COLORADO,4
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,1
AREQUIPA,AREQUIPA,MARIANO MELGAR,1
AREQUIPA,AREQUIPA,YANAHUARA,3
CAJAMARCA,CAJAMARCA,CAJAMARCA,1
CALLAO,CALLAO,CALLAO,6
CALLAO,CALLAO,LA PERLA,1
CALLAO,PROV. CONST. DEL CALLAO,BELLAVISTA,1
CALLAO,PROV. CONST. DEL CALLAO,CARMEN DE LA LEGUA REYNOSO,1
CUSCO,CUSCO,CUSCO,5
CUSCO,CUSCO,SANTIAGO,3
CUSCO,CUSCO,WANCHAQ,2
HUANUCO,HUANUCO,AMARILIS,2
ICA,CHINCHA,CHINCHA BAJA,1
ICA,ICA,ICA,1
JUNIN,HUANCAYO,CHILCA,1
JUNIN,HUANCAYO,EL TAMBO,6
JUNIN,HUANCAYO,HUANCAYO,5
LA LIBERTAD,TRUJILLO,HUANCHACO,1
LA LIBERTAD,TRUJILLO,LA ESPERANZA,1
LA LIBERTAD,TRUJILLO,LAREDO,1
LA LIBERTAD,TRUJILLO,TRUJILLO,4
LAMBAYEQUE,CHICLAYO,CHICLAYO,7
LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,1
LAMBAYEQUE,CHICLAYO,LA VICTORIA,1
LAMBAYEQUE,CHICLAYO,PIMENTEL,1
LAMBAYEQUE,FERRȆAFE,PUEBLO NUEVO,2
LIMA,HUARAL,HUARAL,1
LIMA,HUAURA,HUACHO,1
LIMA,HUAURA,HUALMAY,1
LIMA,LIMA,ANCON,2
LIMA,LIMA,ATE,5
LIMA,LIMA,BARRANCO,12
LIMA,LIMA,BRENHA,5
LIMA,LIMA,CARABAYLLO,5
LIMA,LIMA,CHACLACAYO,2
LIMA,LIMA,CHORRILLOS,10
LIMA,LIMA,CIENEGUILLA,1
LIMA,LIMA,COMAS,9
LIMA,LIMA,EL AGUSTINO,4
LIMA,LIMA,INDEPENDENCIA,2
LIMA,LIMA,JESUS MARIA,43
LIMA,LIMA,LA MOLINA,8
LIMA,LIMA,LA VICTORIA,8
LIMA,LIMA,LIMA,34
LIMA,LIMA,LINCE,4
LIMA,LIMA,LOS OLIVOS,7
LIMA,LIMA,MIRAFLORES,34
LIMA,LIMA,PUEBLO LIBRE,10
LIMA,LIMA,PUENTE PIEDRA,3
LIMA,LIMA,RIMAC,4
LIMA,LIMA,SAN BORJA,21
LIMA,LIMA,SAN ISIDRO,15
LIMA,LIMA,SAN JUAN DE LURIGANCHO,11
LIMA,LIMA,SAN JUAN DE MIRAFLORES,11
LIMA,LIMA,SAN LUIS,3
LIMA,LIMA,SAN MARTIN DE PORRES,9
LIMA,LIMA,SAN MIGUEL,12
LIMA,LIMA,SANTA ANITA,8
LIMA,LIMA,SURCO,48
LIMA,LIMA,SURQUILLO,6
LIMA,LIMA,VILLA EL SALVADOR,4
LIMA,LIMA,VILLA MARIA DEL TRIUNFO,4
LORETO,MAYNAS,INDIANA,4
LORETO,MAYNAS,IQUITOS,5
LORETO,MAYNAS,PUNCHANA,8
LORETO,MAYNAS,SAN JUAN BAUTISTA,1
MADRE DE DIOS,TAMBOPATA,TAMBOPATA,1
PIURA,PIURA,CASTILLA,6
PIURA,PIURA,LAS LOMAS,8
PIURA,PIURA,PIURA,2
PIURA,PIURA,VEINTIS̉IS DE OCTUBRE,3
PIURA,SULLANA,MARCAVELICA,1
SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,1
TUMBES,TUMBES,TUMBES,3